"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CCL4",0,1.92397846624509,0.832,0.04,0,"PRE GC B","CCL4"
"CCL3",2.20047945255034e-166,1.15006627511225,0.483,0.032,2.89561091161099e-162,"PRE GC B","CCL3"
"DUSP2",1.21401161945091e-09,0.282826862217218,0.28,0.115,1.59751789003545e-05,"PRE GC B","DUSP2"
"EGR1",1.50943633678857e-09,0.266322573600988,0.287,0.119,1.98626727558008e-05,"PRE GC B","EGR1"
"SRGN",9.0401409353012e-06,0.264540515021098,0.287,0.156,0.118959214567628,"PRE GC B","SRGN"
"NFKBIA",7.44666388238755e-05,0.287745504659571,0.406,0.28,0.979906500283377,"PRE GC B","NFKBIA"
"FOS",0.00352878011344303,0.274896868016199,0.357,0.27,1,"PRE GC B","FOS"
"RGS13",0,0.752457017173259,0.542,0.001,0,"GC B","RGS13"
"LINC01991",7.01577100974208e-288,0.522346201737126,0.271,0.001,9.23205307171961e-284,"GC B","LINC01991"
"LMO2",4.53058909000119e-278,0.654879269035499,0.479,0.005,5.96180218353256e-274,"GC B","LMO2"
"CCDC88A",1.377836705539e-124,0.603161930496443,0.458,0.014,1.81309532081877e-120,"GC B","CCDC88A"
"HMCES",1.10509815309408e-95,0.33668155415101,0.271,0.006,1.4541986596565e-91,"GC B","HMCES"
"NEIL1",5.23049712862453e-63,0.482170433261755,0.312,0.013,6.88281117155702e-59,"GC B","NEIL1"
"DAAM1",7.80337462703095e-53,0.597577474186952,0.417,0.029,1.026846067171e-48,"GC B","DAAM1"
"LBR",7.13967196839114e-49,1.02506747157409,0.833,0.132,9.3950943432059e-45,"GC B","LBR"
"VNN2",1.93102007997837e-48,0.480624406146932,0.396,0.029,2.54102932324353e-44,"GC B","VNN2"
"AC012368.1",1.08074699376131e-43,0.394507731231033,0.25,0.013,1.42215496909051e-39,"GC B","AC012368.1"
"RFTN1",7.2289303647084e-41,0.459956378137814,0.354,0.027,9.51254946691978e-37,"GC B","RFTN1"
"UBE2J1",8.9517321345504e-37,0.527926841480387,0.396,0.038,1.17795843158549e-32,"GC B","UBE2J1"
"DSTN",1.23757761871142e-36,0.443906695131722,0.312,0.024,1.62852838846236e-32,"GC B","DSTN"
"LRMP",6.64086138978268e-35,0.568619600116439,0.438,0.048,8.73870950281503e-31,"GC B","LRMP"
"MARCKSL1",6.64232624925485e-35,0.537535952602427,0.417,0.044,8.74063711139446e-31,"GC B","MARCKSL1"
"BCL7A",5.06014061567834e-32,0.363021078688472,0.25,0.017,6.65863903617112e-28,"GC B","BCL7A"
"BASP1",4.25266784357575e-30,0.670902193057966,0.562,0.09,5.59608561536132e-26,"GC B","BASP1"
"CPNE5",1.12978725447686e-29,0.640569588649919,0.542,0.084,1.4866870481661e-25,"GC B","CPNE5"
"CPNE3",3.73747124636683e-29,0.490801915445132,0.458,0.061,4.91813841309411e-25,"GC B","CPNE3"
"ACTG1",7.9206281917226e-28,1.37194776199005,0.917,0.351,1.04227546374878e-23,"GC B","ACTG1"
"ARPC2",2.51714120494015e-27,1.29082108420139,1,0.466,3.31230611158075e-23,"GC B","ARPC2"
"GAPDH",6.1713591538027e-26,1.20488965447448,0.854,0.295,8.12089151048898e-22,"GC B","GAPDH"
"SERF2",1.35774506922501e-25,1.14655762067065,0.917,0.339,1.78665673659319e-21,"GC B","SERF2"
"SYNE2",1.42991702928278e-25,0.44858571017655,0.312,0.034,1.88162781883322e-21,"GC B","SYNE2"
"GSTP1",3.53478861049965e-24,0.710434748548615,0.542,0.102,4.65142833255649e-20,"GC B","GSTP1"
"SIAH2",1.2313544554147e-21,0.353915709333158,0.312,0.039,1.6203393278802e-17,"GC B","SIAH2"
"H2AFV",8.29840487630544e-21,0.426745171901722,0.396,0.063,1.09198709767303e-16,"GC B","H2AFV"
"ANP32B",9.37615917518221e-21,0.766213988488425,0.625,0.152,1.23380878586223e-16,"GC B","ANP32B"
"METAP2",1.56001464756911e-20,0.606426315396448,0.438,0.08,2.05282327473619e-16,"GC B","METAP2"
"TCL1A",1.36760808591296e-19,0.768815908142844,0.583,0.135,1.79963548025287e-15,"GC B","TCL1A"
"ACTB",1.91831827376465e-19,1.14034355451096,0.979,0.875,2.5243150164469e-15,"GC B","ACTB"
"PPP2CA",8.97024754806435e-19,0.302443806759869,0.25,0.029,1.18039487484979e-14,"GC B","PPP2CA"
"MTF2",9.17551258280183e-19,0.622306135730649,0.521,0.117,1.20740570077089e-14,"GC B","MTF2"
"TERF2",5.36905360517453e-18,0.399362925752193,0.333,0.052,7.06513763904917e-14,"GC B","TERF2"
"RFC1",6.5162707850794e-18,0.408149864493966,0.354,0.058,8.57476072608598e-14,"GC B","RFC1"
"HMGN1",8.16310926888817e-18,0.784346830750237,0.646,0.195,1.07418354869299e-13,"GC B","HMGN1"
"CALM3",1.20515039467791e-17,0.29773039649856,0.25,0.031,1.58585740435666e-13,"GC B","CALM3"
"ATP5MG",9.50163333714098e-17,0.927249397533302,0.792,0.332,1.25031993083438e-12,"GC B","ATP5MG"
"PARP1",1.54965278192293e-16,0.645172108478103,0.562,0.148,2.03918809573239e-12,"GC B","PARP1"
"LINC01857",2.0024842971115e-16,0.507459272295396,0.438,0.092,2.63506908656902e-12,"GC B","LINC01857"
"RNF181",2.39438145133515e-16,0.316696063137959,0.312,0.049,3.15076655181192e-12,"GC B","RNF181"
"PFN1",6.22827089888633e-16,0.970967324471865,0.875,0.493,8.19578167584453e-12,"GC B","PFN1"
"CSTB",1.95677843958797e-15,0.374535860075345,0.271,0.041,2.57492474865381e-11,"GC B","CSTB"
"PRDX1",2.53718125229656e-15,0.492907579426859,0.438,0.098,3.33867680989705e-11,"GC B","PRDX1"
"SLC25A5",8.61001653181901e-15,0.685491978271895,0.646,0.224,1.13299207542206e-10,"GC B","SLC25A5"
"RAC1",1.03113374464259e-14,0.467529877815054,0.438,0.1,1.35686889457518e-10,"GC B","RAC1"
"DBI",1.54141784872155e-14,0.554938007520466,0.479,0.123,2.02835174713269e-10,"GC B","DBI"
"MDH1",1.88748671876095e-14,0.416337821106797,0.312,0.056,2.48374377321753e-10,"GC B","MDH1"
"HMGA1",2.10211909909411e-14,0.289908772347539,0.25,0.037,2.76617852249794e-10,"GC B","HMGA1"
"ARPC5",3.43349557288007e-14,0.633898569343942,0.562,0.171,4.51813682435288e-10,"GC B","ARPC5"
"UCP2",4.049455506972e-14,0.529974254958574,0.5,0.135,5.32867850162445e-10,"GC B","UCP2"
"USP7",5.32896942754296e-14,0.404557203307956,0.479,0.119,7.01239086970378e-10,"GC B","USP7"
"CLPTM1L",7.76082595903605e-14,0.263918497149544,0.25,0.038,1.02124708794955e-09,"GC B","CLPTM1L"
"EZR",2.16194479292636e-13,0.694301134395348,0.625,0.221,2.8449031530118e-09,"GC B","EZR"
"PDIA3",4.34693449188749e-13,0.772193434704452,0.646,0.254,5.72013109787475e-09,"GC B","PDIA3"
"DNAJC10",7.08314924282824e-13,0.417675153558543,0.438,0.111,9.32071608863768e-09,"GC B","DNAJC10"
"ISG20",1.69320784699651e-12,0.670099309744811,0.542,0.177,2.22809220586271e-08,"GC B","ISG20"
"JCHAIN",2.22552818652638e-12,0.400448739447946,0.312,0.064,2.92857254065006e-08,"GC B","JCHAIN"
"ATP5MC3",3.10914064663459e-12,0.39011497823657,0.438,0.113,4.09131817690645e-08,"GC B","ATP5MC3"
"ROMO1",3.90603328432426e-12,0.474710236096383,0.438,0.118,5.13994919884229e-08,"GC B","ROMO1"
"CAPZB",4.72664331642733e-12,0.495586267241104,0.5,0.149,6.21978994008673e-08,"GC B","CAPZB"
"COX8A",5.6902088371348e-12,0.381372104785534,0.417,0.106,7.48774580878568e-08,"GC B","COX8A"
"BLOC1S6",5.89188443474361e-12,0.390578785857712,0.292,0.058,7.75313072767911e-08,"GC B","BLOC1S6"
"RNGTT",7.20197303491083e-12,0.343054836272081,0.292,0.058,9.47707631663916e-08,"GC B","RNGTT"
"SYK",1.84714280331679e-11,0.41329085844155,0.479,0.14,2.43065521488456e-07,"GC B","SYK"
"TRAPPC1",1.9942905377068e-11,0.309275313502895,0.354,0.082,2.62428691856838e-07,"GC B","TRAPPC1"
"BRWD1",3.32935531550427e-11,0.342295523075137,0.292,0.061,4.38109865967206e-07,"GC B","BRWD1"
"VPREB3",3.85135700273655e-11,0.793033749177467,0.708,0.352,5.06800067990102e-07,"GC B","VPREB3"
"DNMT1",6.94613688448624e-11,0.436063342699583,0.271,0.056,9.14042152629545e-07,"GC B","DNMT1"
"CFL1",7.30341420089943e-11,0.637838103408469,0.667,0.279,9.61056274696356e-07,"GC B","CFL1"
"MYL6",7.5661389461664e-11,0.583988508386454,0.625,0.239,9.95628223926037e-07,"GC B","MYL6"
"PSMA4",7.64810535183952e-11,0.359607408700302,0.375,0.095,1.00641418324856e-06,"GC B","PSMA4"
"LCP1",7.77656452816997e-11,0.450273877401507,0.438,0.129,1.02331812626189e-06,"GC B","LCP1"
"RGS1",8.78993061000415e-11,0.731733562416803,0.604,0.22,1.15666696897045e-06,"GC B","RGS1"
"LAPTM5",1.3885369036347e-10,0.6346621918729,0.688,0.313,1.8271757114929e-06,"GC B","LAPTM5"
"NCOA7",1.7067024567548e-10,0.266887068973981,0.25,0.048,2.24584976284364e-06,"GC B","NCOA7"
"ACTR3",2.04725847201151e-10,0.395589500263732,0.458,0.139,2.69398742331994e-06,"GC B","ACTR3"
"ARPC3",2.17065116738763e-10,0.662627200408878,0.646,0.279,2.85635987116538e-06,"GC B","ARPC3"
"NDUFC1",2.30205566626605e-10,0.317273256600705,0.312,0.072,3.0292750512395e-06,"GC B","NDUFC1"
"TMSB4X",3.03927903806057e-10,0.618889900148871,1,0.977,3.9993872861839e-06,"GC B","TMSB4X"
"PABPC1",3.17601038236968e-10,0.598882482801638,1,0.959,4.17931206216027e-06,"GC B","PABPC1"
"MBD4",8.83724884597522e-10,0.51768068382779,0.5,0.176,1.16289357564188e-05,"GC B","MBD4"
"RPS26",1.0496703823512e-09,0.514703333878702,0.625,0.261,1.38126125613594e-05,"GC B","RPS26"
"ATP5PF",1.81208133047986e-09,0.338285057619394,0.375,0.105,2.38451782277844e-05,"GC B","ATP5PF"
"PSMB3",2.13083462971815e-09,0.298726659789476,0.271,0.061,2.80396528924611e-05,"GC B","PSMB3"
"CLEC2D",3.77437111121531e-09,0.446794294340871,0.458,0.153,4.96669494524822e-05,"GC B","CLEC2D"
"CORO1A",5.42204922582916e-09,0.392920347603849,0.5,0.177,7.1348745762686e-05,"GC B","CORO1A"
